Sample_Name,pH
C09T2C2,5.66
C09T2C3,5.49
C09T3A1,5.6
C09T3A2,5.66
C09T3A3,5.45
C09T3B1,5.57
C09T3B2,5.62
C09T3B3,5.47
C09T3C1,5.61
C09T3C2,5.67
C09T3C3,5.56
C10TB,n.d.
C10TD,n.d.
C10TE,n.d.
C10TG,n.d.
C10T0A,6.68
C10T0B,6.62
C10T0C,6.56
C10T1A1,6.09
C10T1A2,6.24
C10T1A3,6.28
C10T1B1,5.94
C10T1B2,6.13
C10T1B3,6.23
C10T1C1,5.65
C10T1C2,5.73
C10T1C3,5.97
C10T2A1,5.75
C10T2A2,5.85
C10T2A3,5.53
C10T2B1,5.76
C10T2B2,5.86
C10T2B3,5.55
C10T2C1,5.65
C10T2C2,5.72
C10T2C3,5.52
C10T3A1,5.79
C10T3A2,5.82
C10T3A3,5.55
C10T3B1,5.85
C10T3B2,5.84
C10T3B3,5.61
C10T3C1,5.72
C10T3C2,5.75
C10T3C3,5.58
P01TB,n.d.
P01TD,n.d.
P01TE,n.d.
P01TG,n.d.
P01T0A,5.79
P01T0B,5.86
P01T0C,5.86
P01T1A1,5.85
P01T1A2,5.82
P01T1A3,5.81
P01T1B1,5.86
P01T1B2,5.87
P01T1B3,5.84
P01T1C1,5.87
P01T1C2,5.84
P01T1C3,5.82
P01T2A1,5.52
P01T2A2,5.64
P01T2A3,5.57
P01T2B1,5.24
P01T2B2,5.26
P01T2B3,5.4
P01T2C1,5.39
P01T2C2,5.36
P01T2C3,5.41
P01T3A1,5.21
P01T3A2,5.3
P01T3A3,5.28
P01T3B1,5.09
P01T3B2,5.12
P01T3B3,5.05
P01T3C1,5.06
P01T3C2,5.18
P01T3C3,5.14
P02TB,n.d.
P02TD,n.d.
P02TE,n.d.
P02TG,n.d.
P02T0A,5.94
P02T0B,5.92
P02T0C,5.88
P02T1A1,5.92
P02T1A2,5.93
P02T1A3,5.89
P02T1B1,5.99
P02T1B2,5.91
P02T1B3,5.9
P02T1C1,5.89
P02T1C2,5.87
P02T1C3,5.86
P02T2A1,5.69
P02T2A2,5.72
P02T2A3,5.65
P02T2B1,5.72
P02T2B2,5.71
P02T2B3,5.79
P02T2C1,5.66
P02T2C2,5.52
P02T2C3,5.68
P02T3A1,5.32
P02T3A2,5.24
P02T3A3,5.28
P02T3B1,5.33
P02T3B2,5.28
P02T3B3,5.26
P02T3C1,5.1
P02T3C2,5.11
P02T3C3,5.08
P03TB,n.d.
P03TD,n.d.
P03TE,n.d.
P03TG,n.d.
P03T0A,6.13
P03T0B,6.12
P03T0C,6.11
P03T1A1,6.1
P03T1A2,6.07
P03T1A3,6.08
P03T1B1,6.07
P03T1B2,6.04
P03T1B3,6.04
P03T1C1,6.06
P03T1C2,5.98
P03T1C3,5.97
P03T2A1,5.29
P03T2A2,5.26
P03T2A3,5.29
P03T2B1,5.36
P03T2B2,5.26
P03T2B3,5.28
P03T2C1,5.22
P03T2C2,5.25
P03T2C3,5.22
P03T3A1,5.31
P03T3A2,5.25
P03T3A3,5.23
P03T3B1,5.25
P03T3B2,5.2
P03T3B3,5.22
P03T3C1,5.2
P03T3C2,5.19
P03T3C3,5.16
P04TB,n.d.
P04TD,n.d.
P04TE,n.d.
P04TG,n.d.
P04T0A,5.92
P04T0B,5.95
P04T0C,5.84
P04T1A1,5.93
P04T1A2,5.94
P04T1A3,5.88
P04T1B1,5.94
P04T1B2,5.96
P04T1B3,5.92
P04T1C1,5.83
P04T1C2,5.83
P04T1C3,5.79
P04T2A1,5.34
P04T2A2,5.28
P04T2A3,5.31
P04T2B1,5.47
