Sample_Name,Meat_Type,Campaign,Sampling_Time,Lactate_Dose,Packaging,Amplicon_16S,Amplicon_gyrB,Volatilome_Analysis,Sensorial_Profile,pH,Packaging_Gas_Analysis,Total cfu.g-1,LAB cfu.g-1,Chromametry
C03T2B3,Poultry,n°3,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C03T2C1,Poultry,n°3,T2,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C03T2C2,Poultry,n°3,T2,Zero_dose,70%O2_30%CO2,X,,X,X,X,x,X,X,X
C03T2C3,Poultry,n°3,T2,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C03T3A1,Poultry,n°3,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C03T3A2,Poultry,n°3,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C03T3A3,Poultry,n°3,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C03T3B1,Poultry,n°3,T3,Half_dose,Air,X,X,,,X,x,X,X,
C03T3B2,Poultry,n°3,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C03T3B3,Poultry,n°3,T3,Half_dose,50%N2_50%CO2,,X,,,X,x,X,X,
C03T3C1,Poultry,n°3,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C03T3C2,Poultry,n°3,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C03T3C3,Poultry,n°3,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C04TB,Poultry,n°4,Gut,None,None,,,,,,,X,X,
C04TD,Poultry,n°4,Primal_cut,None,None,,,,,,,X,X,
C04TE,Poultry,n°4,Spices,None,None,,,,,,,X,X,
C04TG,Poultry,n°4,Fat,None,None,,,,,,,X,X,
C04T0A,Poultry,n°4,T0,Normal_dose,None,X,X,X,,X,x,X,X,X
C04T0B,Poultry,n°4,T0,Half_dose,None,X,X,,,X,x,X,X,
C04T0C,Poultry,n°4,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C04T1A1,Poultry,n°4,T1,Normal_dose,Air,X,X,X,,X,x,X,X,X
C04T1A2,Poultry,n°4,T1,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C04T1A3,Poultry,n°4,T1,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C04T1B1,Poultry,n°4,T1,Half_dose,Air,X,X,,,X,x,X,X,
C04T1B2,Poultry,n°4,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C04T1B3,Poultry,n°4,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C04T1C1,Poultry,n°4,T1,Zero_dose,Air,X,X,X,,X,x,X,X,X
C04T1C2,Poultry,n°4,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C04T1C3,Poultry,n°4,T1,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C04T2A1,Poultry,n°4,T2,Normal_dose,Air,X,X,X,,X,x,X,X,X
C04T2A2,Poultry,n°4,T2,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C04T2A3,Poultry,n°4,T2,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C04T2B1,Poultry,n°4,T2,Half_dose,Air,X,X,,,X,x,X,X,
C04T2B2,Poultry,n°4,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C04T2B3,Poultry,n°4,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C04T2C1,Poultry,n°4,T2,Zero_dose,Air,X,X,X,,X,x,X,X,X
C04T2C2,Poultry,n°4,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C04T2C3,Poultry,n°4,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C04T3A1,Poultry,n°4,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C04T3A2,Poultry,n°4,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C04T3A3,Poultry,n°4,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C04T3B1,Poultry,n°4,T3,Half_dose,Air,X,X,,,X,x,X,X,
C04T3B2,Poultry,n°4,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C04T3B3,Poultry,n°4,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C04T3C1,Poultry,n°4,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C04T3C2,Poultry,n°4,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C04T3C3,Poultry,n°4,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C05TB,Poultry,n°5,Gut,None,None,,,,,,,X,X,
C05TD,Poultry,n°5,Primal_cut,None,None,,,,,,,X,X,
C05TE,Poultry,n°5,Spices,None,None,,,,,,,,,
C05TG,Poultry,n°5,Fat,None,None,,,,,,,X,X,
C05T0A,Poultry,n°5,T0,Normal_dose,None,X,X,X,X,X,x,X,X,X
C05T0B,Poultry,n°5,T0,Half_dose,None,X,X,,,X,x,X,X,
C05T0C,Poultry,n°5,T0,Zero_dose,None,X,X,X,X,X,x,X,X,
C05T1A1,Poultry,n°5,T1,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C05T1A2,Poultry,n°5,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C05T1A3,Poultry,n°5,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C05T1B1,Poultry,n°5,T1,Half_dose,Air,X,X,,,X,x,X,X,
C05T1B2,Poultry,n°5,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C05T1B3,Poultry,n°5,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C05T1C1,Poultry,n°5,T1,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C05T1C2,Poultry,n°5,T1,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C05T1C3,Poultry,n°5,T1,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C05T2A1,Poultry,n°5,T2,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C05T2A2,Poultry,n°5,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C05T2A3,Poultry,n°5,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C05T2B1,Poultry,n°5,T2,Half_dose,Air,X,X,,,X,x,X,X,
C05T2B2,Poultry,n°5,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C05T2B3,Poultry,n°5,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C05T2C1,Poultry,n°5,T2,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C05T2C2,Poultry,n°5,T2,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C05T2C3,Poultry,n°5,T2,Zero_dose,50%N2_50%CO2,,X,X,X,X,x,X,X,X
C05T3A1,Poultry,n°5,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C05T3A2,Poultry,n°5,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C05T3A3,Poultry,n°5,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C05T3B1,Poultry,n°5,T3,Half_dose,Air,X,X,,,X,x,X,X,
C05T3B2,Poultry,n°5,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C05T3B3,Poultry,n°5,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C05T3C1,Poultry,n°5,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C05T3C2,Poultry,n°5,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C05T3C3,Poultry,n°5,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
C06TB,Poultry,n°6,Gut,None,None,,,,,X,,X,X,
C06TD,Poultry,n°6,Primal_cut,None,None,,X,,,X,,X,X,
C06TE,Poultry,n°6,Spices,None,None,,,,,X,,,,
C06TG,Poultry,n°6,Fat,None,None,,X,,,X,,X,X,
C06T0A,Poultry,n°6,T0,Normal_dose,None,,X,X,X,X,x,X,X,X
C06T0B,Poultry,n°6,T0,Half_dose,None,X,X,,,X,x,X,X,
C06T0C,Poultry,n°6,T0,Zero_dose,None,X,X,X,X,X,x,X,X,
C06T1A1,Poultry,n°6,T1,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C06T1A2,Poultry,n°6,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C06T1A3,Poultry,n°6,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C06T1B1,Poultry,n°6,T1,Half_dose,Air,X,X,,,X,x,X,X,
C06T1B2,Poultry,n°6,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C06T1B3,Poultry,n°6,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C06T1C1,Poultry,n°6,T1,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C06T1C2,Poultry,n°6,T1,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C06T1C3,Poultry,n°6,T1,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C06T2A1,Poultry,n°6,T2,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C06T2A2,Poultry,n°6,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C06T2A3,Poultry,n°6,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C06T2B1,Poultry,n°6,T2,Half_dose,Air,X,X,,,X,x,X,X,
C06T2B2,Poultry,n°6,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C06T2B3,Poultry,n°6,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C06T2C1,Poultry,n°6,T2,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C06T2C2,Poultry,n°6,T2,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C06T2C3,Poultry,n°6,T2,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C06T3A1,Poultry,n°6,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C06T3A2,Poultry,n°6,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C06T3A3,Poultry,n°6,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C06T3B1,Poultry,n°6,T3,Half_dose,Air,X,X,,,X,x,X,X,
C06T3B2,Poultry,n°6,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C06T3B3,Poultry,n°6,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C06T3C1,Poultry,n°6,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C06T3C2,Poultry,n°6,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C06T3C3,Poultry,n°6,T3,Zero_dose,50%N2_50%CO2,,X,X,,X,x,X,X,X
C07TB,Poultry,n°7,Gut,None,None,,,,,X,,X,X,
C07TD,Poultry,n°7,Primal_cut,None,None,,X,,,X,,X,X,
C07TE,Poultry,n°7,Spices,None,None,,,,,X,,X,X,
C07TG,Poultry,n°7,Fat,None,None,,X,,,X,,X,X,
C07T0A,Poultry,n°7,T0,Normal_dose,None,X,X,X,,X,x,X,X,X
C07T0B,Poultry,n°7,T0,Half_dose,None,X,X,,,X,x,X,X,
C07T0C,Poultry,n°7,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C07T1A1,Poultry,n°7,T1,Normal_dose,Air,X,X,X,,X,x,X,X,X
C07T1A2,Poultry,n°7,T1,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C07T1A3,Poultry,n°7,T1,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C07T1B1,Poultry,n°7,T1,Half_dose,Air,X,X,,,X,x,X,X,
C07T1B2,Poultry,n°7,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C07T1B3,Poultry,n°7,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C07T1C1,Poultry,n°7,T1,Zero_dose,Air,X,X,X,,X,x,X,X,X
C07T1C2,Poultry,n°7,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C07T1C3,Poultry,n°7,T1,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C07T2A1,Poultry,n°7,T2,Normal_dose,Air,X,X,X,,X,x,X,X,X
C07T2A2,Poultry,n°7,T2,Normal_dose,70%O2_30%CO2,,X,X,,X,x,X,X,X
C07T2A3,Poultry,n°7,T2,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C07T2B1,Poultry,n°7,T2,Half_dose,Air,X,X,,,X,x,X,X,
C07T2B2,Poultry,n°7,T2,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C07T2B3,Poultry,n°7,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C07T2C1,Poultry,n°7,T2,Zero_dose,Air,X,X,X,,X,x,X,X,X
C07T2C2,Poultry,n°7,T2,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C07T2C3,Poultry,n°7,T2,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C07T3A1,Poultry,n°7,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C07T3A2,Poultry,n°7,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C07T3A3,Poultry,n°7,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C07T3B1,Poultry,n°7,T3,Half_dose,Air,X,X,,,X,x,X,X,
C07T3B2,Poultry,n°7,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C07T3B3,Poultry,n°7,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C07T3C1,Poultry,n°7,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C07T3C2,Poultry,n°7,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C07T3C3,Poultry,n°7,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C08TB,Poultry,n°8,Gut,None,None,,,,,X,,X,X,
C08TD,Poultry,n°8,Primal_cut,None,None,X,X,,,X,,X,X,
C08TE,Poultry,n°8,Spices,None,None,,,,,X,,,,
C08TG,Poultry,n°8,Fat,None,None,,X,,,X,,X,X,
C08T0A,Poultry,n°8,T0,Normal_dose,None,X,X,X,X,X,x,X,X,X
C08T0B,Poultry,n°8,T0,Half_dose,None,X,X,,,X,x,X,X,
C08T0C,Poultry,n°8,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C08T1A1,Poultry,n°8,T1,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C08T1A2,Poultry,n°8,T1,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C08T1A3,Poultry,n°8,T1,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C08T1B1,Poultry,n°8,T1,Half_dose,Air,X,X,,,X,x,X,X,
C08T1B2,Poultry,n°8,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C08T1B3,Poultry,n°8,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C08T1C1,Poultry,n°8,T1,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C08T1C2,Poultry,n°8,T1,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C08T1C3,Poultry,n°8,T1,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C08T2A1,Poultry,n°8,T2,Normal_dose,Air,X,X,X,X,X,x,X,X,X
C08T2A2,Poultry,n°8,T2,Normal_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C08T2A3,Poultry,n°8,T2,Normal_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C08T2B1,Poultry,n°8,T2,Half_dose,Air,X,X,,,X,x,X,X,
C08T2B2,Poultry,n°8,T2,Half_dose,70%O2_30%CO2,X,,,,X,x,X,X,
C08T2B3,Poultry,n°8,T2,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C08T2C1,Poultry,n°8,T2,Zero_dose,Air,X,X,X,X,X,x,X,X,X
C08T2C2,Poultry,n°8,T2,Zero_dose,70%O2_30%CO2,X,X,X,X,X,x,X,X,X
C08T2C3,Poultry,n°8,T2,Zero_dose,50%N2_50%CO2,X,X,X,X,X,x,X,X,X
C08T3A1,Poultry,n°8,T3,Normal_dose,Air,X,X,X,,X,x,X,X,X
C08T3A2,Poultry,n°8,T3,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C08T3A3,Poultry,n°8,T3,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C08T3B1,Poultry,n°8,T3,Half_dose,Air,X,X,,,X,x,X,X,
C08T3B2,Poultry,n°8,T3,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C08T3B3,Poultry,n°8,T3,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C08T3C1,Poultry,n°8,T3,Zero_dose,Air,X,X,X,,X,x,X,X,X
C08T3C2,Poultry,n°8,T3,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C08T3C3,Poultry,n°8,T3,Zero_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C09TB,Poultry,n°9,Gut,None,None,,,,,X,,X,X,
C09TD,Poultry,n°9,Primal_cut,None,None,,,,,X,,X,X,
C09TE,Poultry,n°9,Spices,None,None,,,,,X,,X,X,
C09TG,Poultry,n°9,Fat,None,None,,,,,X,,X,X,
C09T0A,Poultry,n°9,T0,Normal_dose,None,,X,X,,X,x,X,X,X
C09T0B,Poultry,n°9,T0,Half_dose,None,X,X,,,X,x,X,X,
C09T0C,Poultry,n°9,T0,Zero_dose,None,X,X,X,,X,x,X,X,
C09T1A1,Poultry,n°9,T1,Normal_dose,Air,X,X,X,,X,x,X,X,X
C09T1A2,Poultry,n°9,T1,Normal_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
C09T1A3,Poultry,n°9,T1,Normal_dose,50%N2_50%CO2,X,X,X,,X,x,X,X,X
C09T1B1,Poultry,n°9,T1,Half_dose,Air,X,X,,,X,x,X,X,
C09T1B2,Poultry,n°9,T1,Half_dose,70%O2_30%CO2,X,X,,,X,x,X,X,
C09T1B3,Poultry,n°9,T1,Half_dose,50%N2_50%CO2,X,X,,,X,x,X,X,
C09T1C1,Poultry,n°9,T1,Zero_dose,Air,X,X,X,,X,x,X,X,X
C09T1C2,Poultry,n°9,T1,Zero_dose,70%O2_30%CO2,X,X,X,,X,x,X,X,X
