threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
0.1,0.8807339449541285,0.625,0.3333333333333333,0.43478260869565216,0.900990099009901,0.9680851063829787,0.9333333333333333
0.15,0.8899082568807339,0.6666666666666666,0.4,0.5,0.91,0.9680851063829787,0.9381443298969072
0.2,0.8990825688073395,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.9278350515463918,0.9574468085106383,0.9424083769633508
0.25,0.8990825688073395,0.6428571428571429,0.6,0.6206896551724138,0.9368421052631579,0.9468085106382979,0.9417989417989417
0.3,0.908256880733945,0.6470588235294118,0.7333333333333333,0.6875,0.9565217391304348,0.9361702127659575,0.946236559139785
0.35,0.9174311926605505,0.6666666666666666,0.8,0.7272727272727273,0.967032967032967,0.9361702127659575,0.9513513513513514
0.4,0.908256880733945,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.9772727272727273,0.9148936170212766,0.945054945054945
0.45,0.908256880733945,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.9772727272727273,0.9148936170212766,0.945054945054945
0.5,0.8899082568807339,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.9767441860465116,0.8936170212765957,0.9333333333333333
0.55,0.8899082568807339,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.9767441860465116,0.8936170212765957,0.9333333333333333
0.6,0.8899082568807339,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.9767441860465116,0.8936170212765957,0.9333333333333333
0.65,0.8715596330275229,0.52,0.8666666666666667,0.65,0.9761904761904762,0.8723404255319149,0.9213483146067416
0.7,0.8623853211009175,0.5,0.9333333333333333,0.6511627906976745,0.9876543209876543,0.851063829787234,0.9142857142857143
0.75,0.8532110091743119,0.4827586206896552,0.9333333333333333,0.6363636363636364,0.9875,0.8404255319148937,0.9080459770114943
0.8,0.8440366972477065,0.4666666666666667,0.9333333333333333,0.6222222222222222,0.9873417721518988,0.8297872340425532,0.9017341040462428
0.85,0.8073394495412844,0.4117647058823529,0.9333333333333333,0.5714285714285714,0.9866666666666667,0.7872340425531915,0.8757396449704142
0.9,0.7431192660550459,0.3488372093023256,1.0,0.5172413793103449,1.0,0.7021276595744681,0.825
