Genus	Packaging	median_rel	Kruskal_H	p_value
Brochothrix	Air	0.3879183720034796	103.0473533448685	3.436883649049425e-22
Brochothrix	O2+	0.6478714716856508	103.0473533448685	3.436883649049425e-22
Brochothrix	O2-	0.03911663844501046	103.0473533448685	3.436883649049425e-22
Brochothrix	nan	0.09571518076227928	103.0473533448685	3.436883649049425e-22
Lactobacillus	Air	0.13130995888533578	79.84024800893575	3.321255434769352e-17
Lactobacillus	O2+	0.09195571674312225	79.84024800893575	3.321255434769352e-17
Lactobacillus	O2-	0.5802386891937862	79.84024800893575	3.321255434769352e-17
Lactobacillus	nan	0.1908154875074565	79.84024800893575	3.321255434769352e-17
Leuconostoc	Air	0.05657514450867052	86.03538464239705	1.5555890409590605e-18
Leuconostoc	O2+	0.0851511764159833	86.03538464239705	1.5555890409590605e-18
Leuconostoc	O2-	0.054231717337715694	86.03538464239705	1.5555890409590605e-18
Leuconostoc	nan	0.0020487670024038687	86.03538464239705	1.5555890409590605e-18
Pseudomonas	Air	0.07888820471696763	67.12586225135325	1.760031048454573e-14
Pseudomonas	O2+	0.01059293871076766	67.12586225135325	1.760031048454573e-14
Pseudomonas	O2-	0.0056360010404925	67.12586225135325	1.760031048454573e-14
Pseudomonas	nan	0.08019297863511561	67.12586225135325	1.760031048454573e-14
Carnobacterium	Air	0.005457201787555861	17.41540332439691	0.0005804655905423627
Carnobacterium	O2+	0.004797176728280117	17.41540332439691	0.0005804655905423627
Carnobacterium	O2-	0.013318677553817165	17.41540332439691	0.0005804655905423627
Carnobacterium	nan	0.00658035159332892	17.41540332439691	0.0005804655905423627
Shewanella	Air	0.00018667164457718873	9.289722668081689	0.02567685623723405
Shewanella	O2+	5.67339731133787e-05	9.289722668081689	0.02567685623723405
Shewanella	O2-	0.00012762155953545753	9.289722668081689	0.02567685623723405
Shewanella	nan	0.0001918455425540336	9.289722668081689	0.02567685623723405
Photobacterium	Air	0.0004845030281439259	11.752544514762299	0.008280746040659731
Photobacterium	O2+	7.128817219468258e-05	11.752544514762299	0.008280746040659731
Photobacterium	O2-	0.0006995860782370431	11.752544514762299	0.008280746040659731
Photobacterium	nan	0.0009975176113210514	11.752544514762299	0.008280746040659731
