Day	Acinetobacter	Aeromonas	Arcobacter	Arthrobacter	Atopostipes	Bacillus	Bacteroides	Brachybacterium	Brevibacterium	Brochothrix	Buttiauxella	Carnobacterium	Clostridiisalibacter	Clostridium sensu stricto 5	Enterobacter	Enterococcus	Erwinia	Facklamia	Fusobacterium	Hafnia-Obesumbacterium	Kosakonia	Lactobacillus	Lactococcus	Leucobacter	Leuconostoc	Listeria	Macrococcus	Melissococcus	Morganella	Pantoea	Pediococcus	Peptoniphilus	Peptostreptococcus	Photobacterium	Proteus	Providencia	Pseudoalteromonas	Pseudomonas	Psychrilyobacter	Psychrobacter	Rahnella	Salinivibrio	Serratia	Shewanella	Staphylococcus	Stenotrophomonas	Streptococcus	Vagococcus	Vibrio	Weissella	Yersinia
2.0	0.000662260811226206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01657034245713912	0.0	0.012074456517082572	0.0	0.00010776779196887694	0.0	0.0004977222539275267	0.0	0.0	3.5906642728904846e-05	0.0	0.0	0.9272654546823039	7.15553265785105e-06	0.0	0.000705346521867109	0.0064058042000729575	0.0	0.003466851750817597	0.0006032315978456014	0.0	0.0	0.00017943003009280456	0.000197383351457257	0.00029695460530081857	5.3666494933882876e-05	0.0	0.004056148978645051	0.002557222985587734	7.15553265785105e-06	0.0009215027964053556	0.00022266904870137246	0.003469861691040915	0.010566469046118588	0.0	0.0003685099318793291	0.0	0.0	0.0017540518216959114	0.0056611026202326616	0.0012855703056121885	0.0
7.0	0.0008162282878734619	1.5062366123311628e-05	7.930956267120952e-07	0.0	0.0	3.571298234401825e-05	0.0	3.1660999347783416e-06	4.693159026294876e-05	0.0592511732050816	3.171363961971826e-06	0.0023197254291825627	0.0	2.930340928459425e-05	4.05090011273787e-05	0.00010649587208528944	0.0	0.0	2.2114618485532224e-05	1.4281114791785175e-05	2.6142490831859933e-05	0.8946729328055597	4.915906351564767e-05	0.0	0.020077972263156916	0.005822541083516014	0.0	0.003604727015584066	9.548711637441462e-06	1.5134117081986641e-05	0.0	1.74391110919561e-05	0.00015285971980045132	0.00042856618601326075	0.0	0.0	0.00044835485630792375	0.003200207151306786	7.834682821084284e-05	0.0007483944864889286	1.1132730114668301e-05	0.00025866399911994277	0.003330150500491135	7.171851915601647e-06	3.166854431362249e-05	1.1127216229186583e-05	0.0	0.0005506979259263908	0.0007001687700774392	0.00304222413554236	0.0
15.0	0.001081981898567443	3.003170644360232e-06	2.091511961064513e-06	2.0720694377244025e-06	0.0	2.9170718084651152e-05	0.0	3.013340661777823e-07	9.263368321496282e-06	0.08106594307311675	1.6671596537273267e-05	0.0030102018715087164	0.0	4.756271120980351e-06	5.25787690831782e-05	5.479264521255658e-05	0.0	0.0	8.657853339080777e-05	9.540781553912807e-05	2.36627332260121e-06	0.6821897846672997	4.20052480658553e-05	0.0	0.21320503841922275	0.0035348305130527943	6.8425485495346065e-06	0.0019173421389947919	0.00011037030948379382	9.812320682627095e-06	3.2500378186218894e-06	0.0001467199808034448	0.000178880331270904	0.00012156771582638692	0.0	4.750972052509317e-06	0.00014842141635994566	0.005330508457960778	2.0532276207466715e-05	0.0010226751225117685	6.632194112680693e-05	0.00020336605721076156	0.0027065203864431553	9.68674496204092e-05	0.00024446813258445147	3.0186237007843594e-07	3.2500378186218894e-06	0.0002984205167501671	0.0005864500611191605	0.0022796538728914956	3.866285986200333e-06
22.0	0.0015371086481554108	2.8943258173411988e-06	5.772674842984789e-06	7.852108160172537e-07	0.0	3.2429427672896796e-05	2.595437480453112e-07	5.200674527486215e-07	2.3076838288975508e-05	0.08597766242970695	2.331434451872842e-06	0.0034075425605057134	0.0	8.508022109375384e-05	2.2599544548756166e-05	1.0137561552762191e-05	7.918910357934748e-07	0.0	0.010288959354139697	6.959797851624686e-05	3.1206869511313996e-06	0.6623935048495225	0.00013404688953650766	0.0	0.2142018129491211	0.003282456536732981	5.979051305981823e-06	0.001783539431527982	0.0001345797943395858	6.507986608768643e-06	5.258905478345261e-07	4.264369180185816e-05	5.056938828591569e-05	0.00014678513608783252	2.6396367859782494e-07	7.75101667502054e-07	0.00013943484251159716	0.004771006438722653	3.1187568679168004e-05	0.0016013726446183498	8.972942949307261e-05	0.0007823421103745775	0.00463644234246189	8.616190278958262e-05	0.00012367309154413504	3.882226428653276e-06	7.840039557774878e-07	0.0003785569312680751	0.00022044394684179005	0.003479546413648887	7.750465996768055e-07
